label,Image,Mask
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\0_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\0_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\0_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\0_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\1_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\1_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\1_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\1_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\2_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\2_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\2_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\2_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\3_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\3_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\3_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\3_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\4_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\4_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\4_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\4_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\5_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\5_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\5_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\5_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\6_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\6_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\6_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\6_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\7_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\7_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\7_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\7_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\8_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\8_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\8_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\8_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\9_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\9_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\9_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\9_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\10_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\10_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\10_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\10_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\11_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\11_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\11_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\11_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\12_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\12_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\12_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\12_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\13_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\13_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\13_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\13_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\14_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\14_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\14_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\14_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\15_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\15_1.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\15_2.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\15_2.bmp
0,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\image\16_1.bmp,G:\graduation project\TN-SCUI2020\my_code\VNet\augtrain\mask\16_1.bmp
